domain,name,type,title,title_t,help,help_t
com.axelor.wkf.db.InstanceCounter,instance-counter-form,form,Counter,Compteur,,
com.axelor.wkf.db.InstanceCounter,instance-counter-grid,grid,Counters,Compteurs,,
com.axelor.wkf.db.Instance,instance-form,form,Instances,实例,,
instance-form,,page,History,历史,,
instance-form,,page,Counter,Compteur,,
instance-form,,page,Diagram,Diagramme,,
com.axelor.wkf.db.Instance,instance-grid,grid,Instances,实例,,
com.axelor.wkf.db.InstanceHistory,instance-history-form,form,History,历史,,
com.axelor.wkf.db.InstanceHistory,instance-history-grid,grid,Histories,历史,,
com.axelor.wkf.db.Node,node-grid,grid,Nodes,节点,,
com.axelor.wkf.db.Node,node-form,form,Node,节点,,
node-form,,separator,Description,Description,,
com.axelor.wkf.db.node.StartEvent,start-event-grid,grid,Start events,Evènements de départ,,
com.axelor.wkf.db.node.StartEvent,start-event-form,form,Start event,Evènement de départ,,
start-event-form,,separator,Description,Description,,
com.axelor.wkf.db.node.EndEvent,end-event-grid,grid,End events,Evènements de fin,,
com.axelor.wkf.db.node.EndEvent,end-event-form,form,End event,Evènement de fin,,
end-event-form,,separator,Description,Description,,
com.axelor.wkf.db.node.Activity,activity-grid,grid,Activities,Activités,,
com.axelor.wkf.db.node.Activity,activity-form,form,Activity,Activité,,
activity-form,,separator,Description,Description,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,inclusive-gateway-grid,grid,Inclusive gateways,包容网关,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,inclusive-gateway-form,form,Inclusive gateway,包容网关,,
inclusive-gateway-form,,separator,Description,Description,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,exclusive-gateway-grid,grid,Exclusive gateways,排他网关,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,exclusive-gateway-form,form,Exclusive gateway,排他网关,,
exclusive-gateway-form,,separator,Description,Description,,
com.axelor.wkf.db.node.gateway.ParallelGateway,parallel-gateway-grid,grid,Parallel gateways,并行网关,,
com.axelor.wkf.db.node.gateway.ParallelGateway,parallel-gateway-form,form,Parallel gateway,并行网关,,
parallel-gateway-form,,separator,Description,Description,,
com.axelor.wkf.db.Transition,start-transition-form,form,Transition,翻译,,
start-transition-form,,separator,Description,Description,,
com.axelor.wkf.db.Transition,start-transition-grid,grid,Transitions,翻译,,
com.axelor.wkf.db.Transition,transition-form,form,Transition,翻译,,
transition-form,,separator,Description,Description,,
com.axelor.wkf.db.Transition,transition-grid,grid,Transitions,翻译,,
workflow-form,openEditor,button,Editor,编辑器,,
workflow-form,openInstances,button,Instances,实例,,
com.axelor.wkf.db.Workflow,workflow-form,form,Workflow,工作流,,
workflow-form,,page,Description,Description,,
workflow-form,,page,BPMN,BPMN,,
workflow-form,importWorkflow,button,Import,导入,,
workflow-form,,page,XML,XML,,
com.axelor.wkf.db.Workflow,workflow-grid,grid,Workflows,工作流,,
com.axelor.wkf.db.node.IntermediateTimerEvent,intermediate-timer-event-form,form,Timer event,Evènement minuteur,,
com.axelor.wkf.db.node.IntermediateTimerEvent,intermediate-timer-event-grid,grid,Timer events,Evènements minuteur,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,intermediate-email-event-form,form,E-mail event,Evènement e-mail,,
com.axelor.wkf.db.node.message.IntermediateEmailEvent,intermediate-email-event-grid,grid,E-mail events,Evènements e-mail,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,intermediate-mail-event-form,form,Mail event,Evènement courrier,,
com.axelor.wkf.db.node.message.IntermediateMailEvent,intermediate-mail-event-grid,grid,Mail events,Evènements courrier,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,intermediate-sms-event-form,form,Sms event,Evènement sms,,
com.axelor.wkf.db.node.message.IntermediateSmsEvent,intermediate-sms-event-grid,grid,Sms events,Evènements sms,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,intermediate-phone-call-event-form,form,Phone call event,Evènement appel téléphonique,,
com.axelor.wkf.db.node.message.IntermediatePhoneCallEvent,intermediate-phone-call-event-grid,grid,Phone call events,Evènements appel téléphonique,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,intermediate-internet-site-event-form,form,Internet site event,Evènement site internet,,
com.axelor.wkf.db.node.message.IntermediateInternetSiteEvent,intermediate-internet-site-event-grid,grid,Internet site events,Evènements site internet,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,intermediate-facebook-event-form,form,Facebook event,Evènement Facebook,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,intermediate-facebook-event-grid,grid,Facebook events,Evènements Facebook,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,intermediate-linkedin-event-form,form,Linkedin event,Evènement Linkedin,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,intermediate-linkedin-event-grid,grid,Linkedin events,Evènements Linkedin,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,intermediate-twitter-event-form,form,Twitter event,Evènement Twitter,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,intermediate-twitter-event-grid,grid,Twitter events,Evènements Twitter,,
com.axelor.wkf.db.node.FilterEvent,filter-event-form,form,Filter,Filtre,,
com.axelor.wkf.db.node.FilterEvent,filter-event-grid,grid,Filters,Filtres,,
com.axelor.wkf.db.node.StopFilterEvent,stop-filter-event-form,form,Stop filter,Fin filtre,,
com.axelor.wkf.db.node.StopFilterEvent,stop-filter-event-grid,grid,Stop filters,Fin filtres,,
action-wkf-instances,action-wkf-instances,action,Instances,实例,,
action-wkf-my-process,action-wkf-my-process,action,Process,流程,,
action-wkf-nodes,action-wkf-nodes,action,Nodes,节点,,
action-wkf-transitions,action-wkf-transitions,action,Transitions,翻译,,
action-wkf-workflows,action-wkf-workflows,action,Worklows,工作流,,
wkf-validate,wkf-validate,action,Can't save workflow without start node,没有起始节点的工作流无法保存。,,
axelor-wkf,You have no sufficient rights.,other,You have no sufficient rights.,您没有足够的权限。,,
